Price,Date,Close,High,Low,Open,Volume
Ticker,,NFLX,NFLX,NFLX,NFLX,NFLX
count,01-01-1970,1006.0,1006.0,1006.0,1006.0,1006.0
mean,01-01-2023,476.9205,483.3776,470.3028,476.8438,6185140.5567
min,04-01-2021,166.37,172.06,162.71,163.96,1287200.0
25%,31-12-2021,343.8375,348.2725,337.9175,343.0675,3010200.0
50%,01-01-2023,489.105,494.275,485.05,489.84,4351500.0
75%,02-01-2024,605.67,614.055,596.48,604.2475,7092100.0
max,02-01-2025,936.56,941.75,923.08,933.35,133387500.0
std,,170.9042,171.802,169.761,170.8174,6779846.763
